duration,date,subjectcode,Abaser,Abassi,Abater,Abatis,Abator,Abbacy,Abbess,Abdest,Abider,Abject,Ablaut,Abraum,Abseil,Acacia,Acacin,Acajou,Acanth,Acarus,Acater,Acates,Accent,Access,Accost,Accrue,Accuse,Acetal,Acetin,Achate,Achean,Achene,b,c,d,e,f,g,h,i,j,k,l,m,comments
206,10/15/19 22:44,R_3OqMEpsWqnuIFMS,,,,,,,,50,41,-50,-50,-50,-50,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No it was pretty straight forward.
113,10/15/19 22:44,R_2riLha67qJtEQCO,,,,,,,,,,,,,,,50,40,20,-20,-10,-40,20,,,,,,,,,,,,,,,,,,,,,,No
1033,10/15/19 22:45,R_2WUarv1ydhtcYjJ,,,,,,,,,,,,,,,,,,,,,,40,36,10,7,-32,-50,20,,,,,,,,,,,,,,,
138,10/15/19 22:45,R_Ca8WB5QpjCa2sAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,32,42,29,-50,-50,20,,,,,,,,no
216,10/15/19 22:45,R_TvBkKuSBDtHUSwV,,,,,,,,0,29,5,13,2,-11,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,How many fishes are they allow to catch? 
350,10/15/19 22:46,R_1ihzA17arVCwXHa,,,,,,,,50,42,-47,-42,-50,-47,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
144,10/15/19 22:46,R_1hLwTuHhEABxqAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,29,16,25,20,10,20,Everything was pretty clear. The only thing that would have been nice to see averages of fish and fish caught by person.
119,10/15/19 22:46,R_1o0FgSM6CkAmDhT,22,-25,-31,-28,-45,-42,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
75,10/15/19 22:47,R_3niVf7iWJbK5mZu,,,,,,,,,,,,,,,50,50,-42,-30,-50,-50,20,,,,,,,,,,,,,,,,,,,,,,"no, very simple"
134,10/15/19 22:47,R_3Pk1SJcxHEgrbv8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,33,32,31,-50,-50,20,,,,,,,,no
