duration,date,subjectcode,a,b,c,d,e,f,g,h,check1,check2,check3,check4,check5,check6,check7,comments
73,4/12/20 13:43,R_2ALJqZL9o77PHwp,0,0,1,0,,,,,,,,,,,I am paying attention,no
93,4/12/20 13:43,R_3jT2qk5tbZ4Ffqv,,,,,0,1,1,0,,,,,,,I am paying attention,
116,4/12/20 13:43,R_1dApars9lc3Cbbx,,,,,0,1,1,0,,,,,,,I am paying attention,no
61,4/12/20 13:43,R_3oQNr0SRGW7Dkef,,,,,0,1,1,0,,,,,,,I am paying attention,N/A
116,4/12/20 13:43,R_6yE3JLp52QJJOfv,,,,,0,1,0,1,,,,,,,"I am paying attention""",no
86,4/12/20 13:44,R_3hfp4uPLUHrvZT0,1,1,1,1,,,,,,,1,,,,,no
88,4/12/20 13:44,R_2wt4v0iBBKwPL6a,,,,,1,0,1,1,,,,1,,,,comments you would like to share
125,4/12/20 13:44,R_25TKHDMWhoEX83H,1,0,1,0,,,,,,,,,,,I am paying attention ,no
94,4/12/20 13:44,R_3G1DZZkBGp79jHm,,,,,0,1,1,0,,,,,,,I am paying attention,n/a
128,4/12/20 13:44,R_2Spe95fvD4FTjCD,,,,,0,0,1,1,,,,,,,I am paying attention,no
123,4/12/20 13:44,R_29unV4u5pYH2c4u,,,,,0,1,0,0,,,,,,1,,no
112,4/12/20 13:44,R_2TntQ7XbfjXsHuI,0,1,1,0,,,,,,,,,,,I am paying attention,Everything was clear.
132,4/12/20 13:44,R_3sgfh9zZxz682TY,0,1,1,1,,,,,,,,,,,I am paying attention,no
93,4/12/20 13:44,R_1NCy6f1FjmKvN5E,,,,,0,0,1,0,,,,,,,I am paying attention,
142,4/12/20 13:44,R_0p1DRvjrbfo1Gox,1,1,0,0,,,,,,,,,,,i am paying attention,like
105,4/12/20 13:45,R_1onb6RTi1DUfthA,,,,,0,1,1,0,,,,,,,I am paying attention,no
102,4/12/20 13:45,R_3dvY4L6Ijq9ySU9,0,1,1,0,,,,,,,,,,,I am paying attention,
194,4/12/20 13:45,R_1ojx1iedlZtOThn,1,0,1,0,,,,,1,,,,,,,
